model,maxToken,report,duration,pages,t_inf/page
Qwen/Qwen3-VL-32B-Thinking,16384,Allianz_2022_report,407.69,7,58.24
Qwen/Qwen3-VL-32B-Thinking,16384,Fresenius SE_2019_report,146.26,7,20.89
Qwen/Qwen3-VL-32B-Thinking,16384,ViacomCBS_ESG Report_2020-2021_vFINAL,400.61,7,57.23
Qwen/Qwen3-VL-32B-Thinking,16384,acuity brands inc_2022_report,856.82,8,107.1
Qwen/Qwen3-VL-32B-Thinking,16384,addtech_2022_report,271.51,9,30.17
Qwen/Qwen3-VL-32B-Thinking,16384,aixtron_2020_report,593.25,7,84.75
Qwen/Qwen3-VL-32B-Thinking,16384,autoneum holding_2019_report,511.63,7,73.09
Qwen/Qwen3-VL-32B-Thinking,16384,bekaert (d) sa_2022_report,604.42,7,86.35
Qwen/Qwen3-VL-32B-Thinking,16384,blackline safety_2021_report,177.51,7,25.36
Qwen/Qwen3-VL-32B-Thinking,16384,cabot corp_2018_report,133.44,7,19.06
Qwen/Qwen3-VL-32B-Thinking,16384,dampskibsselskabet norden_2019_report,659.39,7,94.2
Qwen/Qwen3-VL-32B-Thinking,16384,evolution mining ltd_2020_report,470.48,9,52.28
Qwen/Qwen3-VL-32B-Thinking,16384,fujifilm_2022_report,184.17,7,26.31
Qwen/Qwen3-VL-32B-Thinking,16384,georg fischer ag_2018_report,286.71,9,31.86
Qwen/Qwen3-VL-32B-Thinking,16384,granite construction inc_2020_report,350.36,7,50.05
Qwen/Qwen3-VL-32B-Thinking,16384,h. lundbeck_2021_report,274.6,7,39.23
Qwen/Qwen3-VL-32B-Thinking,16384,hammerson reit_2021_report,238.61,9,26.51
Qwen/Qwen3-VL-32B-Thinking,16384,huhtamaki_2018_report,214.32,7,30.62
Qwen/Qwen3-VL-32B-Thinking,16384,inchcape plc_2022_report,406.57,9,45.17
Qwen/Qwen3-VL-32B-Thinking,16384,innospec inc_2020_report,352.43,5,70.49
Qwen/Qwen3-VL-32B-Thinking,16384,kfw_2018_report,557.96,7,79.71
Qwen/Qwen3-VL-32B-Thinking,16384,kilroy realty_2017_report,309.88,9,34.43
Qwen/Qwen3-VL-32B-Thinking,16384,kilroy realty_2018_report,747.13,9,83.01
Qwen/Qwen3-VL-32B-Thinking,16384,morinaga ltd_2020_report,302.88,7,43.27
Qwen/Qwen3-VL-32B-Thinking,16384,nok corporation_2021_report,253.51,5,50.7
Qwen/Qwen3-VL-32B-Thinking,16384,nordea_2017_report,547.14,9,60.79
Qwen/Qwen3-VL-32B-Thinking,16384,salzgitter ag_2018_report,490.85,7,70.12
Qwen/Qwen3-VL-32B-Thinking,16384,sato oyj_2022_report,289.0,9,32.11
Qwen/Qwen3-VL-32B-Thinking,16384,stantec inc_2019_report,172.63,7,24.66
Qwen/Qwen3-VL-32B-Thinking,16384,toshiba tec corp_2022_report,467.85,9,51.98
Qwen/Qwen3-VL-32B-Thinking,16384,uniper_2019_report,456.0,7,65.14
Qwen/Qwen3-VL-32B-Thinking,16384,varta ag_2021_report,256.04,7,36.58
