model,maxToken,report,duration,pages,t_inf/page
Qwen/Qwen3-VL-32B-Thinking,16384,Allianz_2022_report,377.93,7,53.99
Qwen/Qwen3-VL-32B-Thinking,16384,Fresenius SE_2019_report,320.32,7,45.76
Qwen/Qwen3-VL-32B-Thinking,16384,ViacomCBS_ESG Report_2020-2021_vFINAL,357.02,7,51.0
Qwen/Qwen3-VL-32B-Thinking,16384,acuity brands inc_2022_report,194.91,8,24.36
Qwen/Qwen3-VL-32B-Thinking,16384,addtech_2022_report,235.26,9,26.14
Qwen/Qwen3-VL-32B-Thinking,16384,aixtron_2020_report,547.01,7,78.14
Qwen/Qwen3-VL-32B-Thinking,16384,autoneum holding_2019_report,322.96,7,46.14
Qwen/Qwen3-VL-32B-Thinking,16384,bekaert (d) sa_2022_report,556.29,7,79.47
Qwen/Qwen3-VL-32B-Thinking,16384,blackline safety_2021_report,100.51,7,14.36
Qwen/Qwen3-VL-32B-Thinking,16384,cabot corp_2018_report,253.85,7,36.26
Qwen/Qwen3-VL-32B-Thinking,16384,dampskibsselskabet norden_2019_report,446.84,7,63.83
Qwen/Qwen3-VL-32B-Thinking,16384,evolution mining ltd_2020_report,263.22,9,29.25
Qwen/Qwen3-VL-32B-Thinking,16384,fujifilm_2022_report,177.46,7,25.35
Qwen/Qwen3-VL-32B-Thinking,16384,georg fischer ag_2018_report,235.81,9,26.2
Qwen/Qwen3-VL-32B-Thinking,16384,granite construction inc_2020_report,119.88,7,17.13
Qwen/Qwen3-VL-32B-Thinking,16384,h. lundbeck_2021_report,147.81,7,21.12
Qwen/Qwen3-VL-32B-Thinking,16384,hammerson reit_2021_report,598.95,9,66.55
Qwen/Qwen3-VL-32B-Thinking,16384,huhtamaki_2018_report,172.53,7,24.65
Qwen/Qwen3-VL-32B-Thinking,16384,inchcape plc_2022_report,564.1,9,62.68
Qwen/Qwen3-VL-32B-Thinking,16384,innospec inc_2020_report,444.12,5,88.82
Qwen/Qwen3-VL-32B-Thinking,16384,kfw_2018_report,321.65,7,45.95
Qwen/Qwen3-VL-32B-Thinking,16384,kilroy realty_2017_report,377.82,9,41.98
Qwen/Qwen3-VL-32B-Thinking,16384,kilroy realty_2018_report,314.4,9,34.93
Qwen/Qwen3-VL-32B-Thinking,16384,morinaga ltd_2020_report,394.51,7,56.36
Qwen/Qwen3-VL-32B-Thinking,16384,nok corporation_2021_report,534.28,5,106.86
Qwen/Qwen3-VL-32B-Thinking,16384,nordea_2017_report,393.28,9,43.7
Qwen/Qwen3-VL-32B-Thinking,16384,salzgitter ag_2018_report,203.85,7,29.12
Qwen/Qwen3-VL-32B-Thinking,16384,sato oyj_2022_report,231.01,9,25.67
Qwen/Qwen3-VL-32B-Thinking,16384,stantec inc_2019_report,254.12,7,36.3
Qwen/Qwen3-VL-32B-Thinking,16384,toshiba tec corp_2022_report,728.89,9,80.99
Qwen/Qwen3-VL-32B-Thinking,16384,uniper_2019_report,296.55,7,42.36
Qwen/Qwen3-VL-32B-Thinking,16384,varta ag_2021_report,211.29,7,30.18
