model,maxToken,report,duration,pages,t_inf/page
Qwen/Qwen3-VL-32B-Thinking,16384,Allianz_2022_report,675.65,7,96.52
Qwen/Qwen3-VL-32B-Thinking,16384,Fresenius SE_2019_report,371.02,7,53.0
Qwen/Qwen3-VL-32B-Thinking,16384,ViacomCBS_ESG Report_2020-2021_vFINAL,561.74,7,80.25
Qwen/Qwen3-VL-32B-Thinking,16384,acuity brands inc_2022_report,209.42,8,26.18
Qwen/Qwen3-VL-32B-Thinking,16384,addtech_2022_report,209.28,9,23.25
Qwen/Qwen3-VL-32B-Thinking,16384,aixtron_2020_report,600.93,7,85.85
Qwen/Qwen3-VL-32B-Thinking,16384,autoneum holding_2019_report,615.38,7,87.91
Qwen/Qwen3-VL-32B-Thinking,16384,bekaert (d) sa_2022_report,662.16,7,94.59
Qwen/Qwen3-VL-32B-Thinking,16384,blackline safety_2021_report,259.95,7,37.14
Qwen/Qwen3-VL-32B-Thinking,16384,cabot corp_2018_report,246.69,7,35.24
Qwen/Qwen3-VL-32B-Thinking,16384,dampskibsselskabet norden_2019_report,315.61,7,45.09
Qwen/Qwen3-VL-32B-Thinking,16384,evolution mining ltd_2020_report,389.44,9,43.27
Qwen/Qwen3-VL-32B-Thinking,16384,fujifilm_2022_report,623.13,7,89.02
Qwen/Qwen3-VL-32B-Thinking,16384,georg fischer ag_2018_report,378.69,9,42.08
Qwen/Qwen3-VL-32B-Thinking,16384,granite construction inc_2020_report,564.38,7,80.63
Qwen/Qwen3-VL-32B-Thinking,16384,h. lundbeck_2021_report,256.94,7,36.71
Qwen/Qwen3-VL-32B-Thinking,16384,hammerson reit_2021_report,151.88,9,16.88
Qwen/Qwen3-VL-32B-Thinking,16384,huhtamaki_2018_report,306.69,7,43.81
Qwen/Qwen3-VL-32B-Thinking,16384,inchcape plc_2022_report,501.59,9,55.73
Qwen/Qwen3-VL-32B-Thinking,16384,innospec inc_2020_report,226.81,5,45.36
Qwen/Qwen3-VL-32B-Thinking,16384,kfw_2018_report,418.6,7,59.8
Qwen/Qwen3-VL-32B-Thinking,16384,kilroy realty_2017_report,498.78,9,55.42
Qwen/Qwen3-VL-32B-Thinking,16384,kilroy realty_2018_report,495.15,9,55.02
Qwen/Qwen3-VL-32B-Thinking,16384,morinaga ltd_2020_report,390.7,7,55.81
Qwen/Qwen3-VL-32B-Thinking,16384,nok corporation_2021_report,270.5,5,54.1
Qwen/Qwen3-VL-32B-Thinking,16384,nordea_2017_report,292.41,9,32.49
Qwen/Qwen3-VL-32B-Thinking,16384,salzgitter ag_2018_report,562.18,7,80.31
Qwen/Qwen3-VL-32B-Thinking,16384,sato oyj_2022_report,360.4,9,40.04
Qwen/Qwen3-VL-32B-Thinking,16384,stantec inc_2019_report,301.06,7,43.01
Qwen/Qwen3-VL-32B-Thinking,16384,toshiba tec corp_2022_report,724.43,9,80.49
Qwen/Qwen3-VL-32B-Thinking,16384,uniper_2019_report,667.59,7,95.37
Qwen/Qwen3-VL-32B-Thinking,16384,varta ag_2021_report,406.85,7,58.12
